Woolworths Mini Cup Cake Choc Mud 9 pack,9,Servingsize:20g,Energy,334kJ,1670kJ,Protein,1.1g,5.5g,"Fat, total",3.4g,16.9g,– saturated,1.8g,9.1g,Carbohydrate,10.9g,54.7g,– sugars,7.5g,37.3g,Sodium,88mg,439mg
Woolworths Vanilla Cupcakes With Buttercream Frosting 9 pack,9,Servingsize:25g,Energy,Approx. 490kJ,Approx. 1960kJ,Protein,Approx. 1g,Approx. 3g,"Fat, total",Approx. 6.1g,Approx. 24.5g,– saturated,Approx. 3.4g,Approx. 13.7g,Carbohydrate,Approx. 14.7g,Approx. 58.9g,– sugars,Approx. 9.6g,Approx. 38.3g,Sodium,Approx. 50mg,Approx. 199mg
Woolworths Cup Cake Mini Iced 9 pack,9,Servingsize:20g,Energy,340kJ,1700kJ,Protein,1.0g,5.2g,"Fat, total",3.1g,15.7g,– saturated,1.7g,8.3g,Carbohydrate,12.0g,60.0g,– sugars,7.4g,37.1g,Sodium,91mg,455mg
Mission Wraps Light 8pk 567g,8,Servingsize:71g,Energy,751kJ,1100kJ,Protein,5.7g,8.1g,"Fat, total",2.0g,2.8g,– saturated,0.9g,1.2g,Carbohydrate,35.0g,49.3g,– sugars,2.1g,2.9g,Sodium,646mg,910mg
Woolworths English Muffins6 pack,6,Servingsize:100g,Energy,Approx. 602kJ,Approx. 898kJ,Protein,Approx. 5.8g,Approx. 8.6g,"Fat, total",Approx. 1.5g,Approx. 2.3g,– saturated,<1g,<1g,Carbohydrate,Approx. 25.1g,Approx. 37.4g,– sugars,Approx. 1.7g,Approx. 2.6g,Sodium,Approx. 240mg,Approx. 358mg
Helga's Grain Bread Mixed Grain 850g,9(16slices+2Crusts),Servingsize:94g(2slices),Energy,980kJ,1040kJ,Protein,9.0g,9.6g,"Fat, total",3.0g,3.2g,– saturated,<1.0g,<1.0g,Carbohydrate,40.4g,43.0g,– sugars,2.8g,3.0g,Sodium,380mg,400mg
Woolworths Country Loaf Wholegrain 850g,9,Servingsize:100g,Energy,Approx. 964kJ,Approx. 1010kJ,Protein,Approx. 8.2g,Approx. 8.6g,"Fat, total",Approx. 2.9g,Approx. 3.1g,– saturated,<1g,<1g,Carbohydrate,Approx. 40.2g,Approx. 42.3g,– sugars,Approx. 2.5g,Approx. 2.6g,Sodium,Approx. 380mg,Approx. 400mg
Helga's Wholemeal Bread With Grains 850g,9(16slicesand2crusts),Servingsize:94g,Energy,950kJ,1010kJ,Protein,9.3g,9.9g,"Fat, total",3.8g,4.0g,– saturated,<1.0g,<1.0g,Carbohydrate,35.7,38.0g,– sugars,3.3g,3.5g,Sodium,375mg,400mg
Abbotts Village Bakery Grainy Wholemeal 850g,9(16slices+2crusts),Servingsize:95g(2slices),Energy,960kJ,1010kJ,Protein,9.4g,9.9g,"Fat, total",2.6g,2.7g,– saturated,0.5g,0.5g,Carbohydrate,38.2g,40.2g,– sugars,3.0g,3.2g,Sodium,380mg,400mg
Woolworths Apple Crumble Tart 800g,8,Servingsize:100g,Energy,Approx. 1020.0kJ,Approx. 1020kJ,,,,,,,– saturated,Approx. 5.3g,Approx. 5.3g,Carbohydrate,Approx. 42.1g,Approx. 42.1g,,,,Sodium,Approx. 26.0mg,Approx. 26mg
Abbott's Village Bakery Bread Country Grains 800g,9(16slices+2crusts),Servingsize:89g(2slices),Energy,935kJ,1050kJ,Protein,7.9g,8.9g,"Fat, total",3.1g,3.5g,– saturated,1.0g,0.5g,Carbohydrate,38.3g,43.0g,– sugars,2.9g,3.3g,Sodium,350mg,393mg
